노선명,노선번호,시도명,시군구명,도로구간-기점,도로구간-종점,도로구간-기점(위도),도로구간-기점(경도),도로구간-종점(위도),도로구간-종점(경도),주요경유지,총길이(km),일반도로너비(m),자전거도로너비(m),자전거도로종류,자전거도로고시유무,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
헌릉로,,서울특별시,서초구,서울특별시 서초구염곡교차로,서울특별시 서초구하나로마트,,,,,,0.3,,1,자전거보행자겸용도로,,서울특별시 서초구청,02-2155-7186,2024-12-10,3210000,서울특별시 서초구
바우뫼로15길,,서울특별시,서초구,서울특별시 서초구양재초교교차로,서울특별시 서초구남부순환로,,,,,,1.2,,1.8,자전거보행자겸용도로,,서울특별시 서초구청,02-2155-7186,2024-12-10,3210000,서울특별시 서초구
남부순환로,,서울특별시,서초구,서울특별시 서초구포르쉐삼거리,서울특별시 서초구경남아파트삼거리,,,,,,0.5,,1.8,자전거보행자겸용도로,,서울특별시 서초구청,02-2155-7186,2024-12-10,3210000,서울특별시 서초구
잠원로,,서울특별시,서초구,서울특별시 서초구고속터미널,서울특별시 서초구삼호가든사거리,,,,,,0.3,,1.4,자전거보행자겸용도로,,서울특별시 서초구청,02-2155-7186,2024-12-10,3210000,서울특별시 서초구
동작대로,,서울특별시,서초구,서울특별시 서초구사당역,서울특별시 서초구이수역교차로,,,,,,2.5,,1.4,자전거보행자겸용도로,,서울특별시 서초구청,02-2155-7186,2024-12-10,3210000,서울특별시 서초구
남부순환로(북측),,서울특별시,서초구,서울특별시 서초구경남아파트앞 삼거리,서울특별시 서초구예술의전당 교차로,,,,,,1.1,,1.6,자전거보행자겸용도로,,서울특별시 서초구청,02-2155-7186,2024-12-10,3210000,서울특별시 서초구
김해대로3L,,경상남도,김해시,경상남도 김해시 내동 1191번지 일원,경상남도 김해시 외동 1264번지 일원,,,,,,2.26,,2,자전거보행자겸용도로,N,경상남도 김해시청,055-330-3835,2024-12-11,5350000,경상남도 김해시
국토종주자전거길1-46,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-47,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-48,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-49,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-50,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-51,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-52,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-53,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-54,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-55,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-56,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-57,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-58,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-59,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-60,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-61,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-62,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-63,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-64,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-65,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-66,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-67,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-68,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-69,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-70,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-71,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
화합로L,,울산광역시,남구,울산광역시 남구 삼산동 1581,울산광역시 남구 야음동 157-3,,,,,,2.31,,1.2,,,울산광역시청 종합건설본부,,2025-02-12,6310000,울산광역시
국토종주자전거길1-72,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-73,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-74,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-75,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-76,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-77,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-78,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-79,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-80,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-81,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-82,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-83,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-84,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-85,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-86,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-87,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-88,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-89,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-90,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-91,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-92,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-93,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-94,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-95,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-96,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
국토종주자전거길1-97,,경상북도,구미시,경상북도 구미시 공단동 360-1,경상북도 상주시 낙동면 낙동리 1067-2,36.124247,128.387037,36.356719,128.292997,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
화합로R,,울산광역시,남구,울산광역시 남구 여천동 1000-14,울산광역시 남구 삼산동 1581,,,,,,2.55,,1.2,,,울산광역시청 종합건설본부,,2025-02-12,6310000,울산광역시
남장 자전거도로,,경상북도,상주시,경상북도 상주시 연원동   799-62,경상북도 상주시 남장동   497,36.41628993,128.1388785,36.42752731,128.1072317,,5,,3,자전거전용도로,Y,경상북도 상주시청,054-537-7589,2024-11-18,5110000,경상북도 상주시
새재ㆍ낙동강자전거길,,경상북도,상주시,경상북도 상주시 함창읍 덕통리  2,경상북도 상주시 낙동면 낙동리  251-3,36.57254974,128.2151497,36.36243713,128.3048157,상주보,36.7,,3,자전거전용도로,Y,경상북도 상주시청,054-537-7589,2024-11-18,5110000,경상북도 상주시
낙동강길(안동방면),,경상북도,상주시,경상북도 상주시 중동면 회상리  380,경상북도 상주시 중동면 회상리  산 195-6,36.47627339,128.2710462,36.45397372,128.2594738,자전거박물관,3.3,,3,자전거전용도로,Y,경상북도 상주시청,054-537-7589,2024-11-18,5110000,경상북도 상주시
북천 제방로,,경상북도,상주시,경상북도 상주시 만산동   699-1,경상북도 상주시 복룡동   157-3,36.42584594,128.1515313,36.42102426,128.1860147,,4.6,,3,자전거전용도로,Y,경상북도 상주시청,054-537-7589,2024-11-18,5110000,경상북도 상주시
병성천 제방로,,경상북도,상주시,경상북도 상주시 병성동   255-1,경상북도 상주시 가장동   307-2,36.43453649,128.2210815,36.3818504,128.1519416,,9.8,,3,자전거전용도로,Y,경상북도 상주시청,054-537-7589,2024-11-18,5110000,경상북도 상주시
비봉산 투어로드,,경상북도,상주시,경상북도 상주시 중동면 회상리  산 195-6,경상북도 상주시 중동면 오상리  산 94-35,36.45397372,128.2594738,36.43116854,128.2481064,,5.7,,3,자전거전용도로,Y,경상북도 상주시청,054-537-7589,2024-11-18,5110000,경상북도 상주시
"상서문 2길, 성동로",중로2류4호선,경상북도,상주시,경상북도 상주시 낙양동   135-4,경상북도 상주시 남성동   229-20,36.41260343,128.1514148,36.41297836,128.159614,,1.4,25,1.5,자전거전용차로,Y,경상북도 상주시청,054-537-7589,2024-11-18,5110000,경상북도 상주시
"상서문로,동수로",중로2류5호선,경상북도,상주시,경상북도 상주시 낙양동   169-6,경상북도 상주시 남성동   35-1,36.40977334,128.1565258,36.41558764,128.1560119,상희학교,1.2,25,2,자전거전용차로,Y,경상북도 상주시청,054-537-7589,2024-11-18,5110000,경상북도 상주시
상산로,대로3류1호선,경상북도,상주시,경상북도 상주시 신봉동   172-2,경상북도 상주시 신봉동   622,36.40556954,128.1608578,36.39279141,128.1526714,,0.3,25,1.5,자전거전용차로,Y,경상북도 상주시청,054-537-7589,2024-11-18,5110000,경상북도 상주시
영남제일로,대로1류1호선,경상북도,상주시,경상북도 상주시 복룡동   157-3.,경상북도 상주시 헌신동   296-4,36.42102426,128.1860147,36.41672678,128.2087271,상주IC,4,25,1.5,자전거보행자겸용도로,Y,경상북도 상주시청,054-537-7589,2024-11-18,5110000,경상북도 상주시
상산로,대로3류1호선,경상북도,상주시,경상북도 상주시 서성동   142-1,경상북도 상주시 신봉동   172-2,36.41573141,128.1592935,36.40556954,128.1608578,문화회관,2.2,25,1.5,자전거보행자겸용도로,Y,경상북도 상주시청,054-537-7589,2024-11-18,5110000,경상북도 상주시
상산로,대로3류1호선,경상북도,상주시,경상북도 상주시 서성동   142-1,경상북도 상주시 냉림동   125-9,36.41573141,128.1592935,36.42721262,128.1587731,상주소방서,2.2,25,1.5,자전거보행자겸용도로,Y,경상북도 상주시청,054-537-7589,2024-11-18,5110000,경상북도 상주시
삼백로,대로3류2호선,경상북도,상주시,경상북도 상주시 서성동   56-2,경상북도 상주시 무양동   293,36.41889615,128.1591924,36.41826089,128.1510601,새마을금고,1.4,25,2,자전거보행자겸용도로,Y,경상북도 상주시청,054-537-7589,2024-11-18,5110000,경상북도 상주시
상산로,대로3류1호선,경상북도,상주시,경상북도 상주시 냉림동   125-9,경상북도 상주시 만산동   207,36.42721262,128.1587731,36.43693161,128.1578166,영빈주유소,2,25,1.5,자전거보행자겸용도로,Y,경상북도 상주시청,054-537-7589,2024-11-18,5110000,경상북도 상주시
"상서문2길, 성동로",중로2류4호선,경상북도,상주시,경상북도 상주시 남성동   229-20,경상북도 상주시 성동동   93-2,36.41297836,128.159614,36.41348545,128.1713778,,2.2,,1.5,자전거보행자겸용도로,Y,경상북도 상주시청,054-537-7589,2024-11-18,5110000,경상북도 상주시
경천대 일주로,,경상북도,상주시,경상북도 상주시 사벌면 삼덕리 751-2,경상북도 상주시 중덕동   990-6,36.4447144,128.227606,36.44038053,128.1864817,,1.2,15,1.5,자전거보행자겸용도로,Y,경상북도 상주시청,054-537-7589,2024-11-18,5110000,경상북도 상주시
아리랑로,중로1류3호선,경상북도,상주시,경상북도 상주시 복룡동   217-7.,경상북도 상주시 복룡동   277-1,36.41683636,128.1737902,36.41904541,128.1737109,,0.6,15,1.5,자전거보행자겸용도로,Y,경상북도 상주시청,054-537-7589,2024-11-18,5110000,경상북도 상주시
아리랑로.,중로1류3호선.,경상북도,상주시,경상북도 상주시 냉림동   1-33,경상북도 상주시 중덕동   990-6,36.42181296,128.1735423,36.44038053,128.1864817,,5.2,15,1.5,자전거보행자겸용도로,Y,경상북도 상주시청,054-537-7589,2024-11-18,5110000,경상북도 상주시
