auser_info_id,extrc_word_nm,info_obtn_dt,auser_sxdst_cd,age_group_cd,occpn_nm,hshld_incm_group_nm,mrrg_yn_nm,chdrn_yn_nm,rsid_fom_nm,auser_ara_ctprv_nm,auser_ara_gu_nm,auser_ara_dong_nm,car_group_nm,craln_tlphn_mkr_nm,craln_tlphn_sbscr_cmpn_nm,info_obtn_site_url,info_obtn_site_subjc_nm
D***52,4대강자전거길,201903**,M,2,,,      ,          ,,인천,계양구,효성동,,,,https://m.blog.naver.com/ytj48/221625132400,4대강 자전거길 낙동강 종주 안동댐 에서 부산하구둑까지
D***32,하남미사리자전거길,201903**,M,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,예    ,자녀 있음 ,아파트/ 주상복합,제주,서귀포시,강정동,,삼성,SKT,https://m.blog.naver.com/juhyun9909/221604275520,하남사랑하남미사리자전거길 미사리자전거길
D***93,낙동강자전거길,201903**,F,2,"학생 (초중고학생, 대학생, 대학원생)",400~499만원,아니오,          ,아파트/ 주상복합,인천,연수구,송도동,,애플,KT,https://m.blog.naver.com/kjminbk/221588282626,낙동강 자전거길  구미보  강정고령보 65km를 접이식 자전거로 다녀 왔습니다
D***67,남한강자전거길,201903**,F,2,"사무직 (일반사무직, 공무원, 직업군인)","1,000만원 이상",아니오,          ,연립주택/ 다세대/ 빌라,인천,부평구,부평5동,,삼성,알뜰폰(MVNO),https://m.blog.naver.com/id780629/221632367842,만원 한 장 들고가는 남한강자전거길 인생 여행
D***63,영산강자전거길,201903**,F,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 없음 ,아파트/ 주상복합,부산,연제구,연산9동,,삼성,SKT,https://m.blog.naver.com/whrkdwhthd/221543321562,전국 일주 9일차  담양   영산강 자전거길 12
D***72,동해안자전거길,201903**,M,5,"자영업 (도소매업, 숙박업, 미용업)",200~299만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,대전,서구,갈마1동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)",삼성,LG U+,https://m.blog.naver.com/ejsong12/221645802519,국토종주 동해안자전거길1일차거진읍으로 가다1
D***71,섬진강자전거길,201903**,M,3,"교직 (교사, 유치원교사, 학원강사)",400~499만원,예    ,자녀 없음 ,아파트/ 주상복합,경북,구미시,도량동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)",삼성,SKT,https://blog.naver.com/ltwsky/221478624560,섬진강 자전거길 종주 전주강진광양 2019년 3월
D***,섬진강자전거길,201903**,M,2,,,      ,          ,,경기,평택시,신장1동,,,,https://m.blog.naver.com/jounho9199/221719330287,담양댐섬진강댐 자전거길6557km
D***,쉐도우수자전거길,201903**,F,3,,,      ,          ,,울산,울주군,온산읍,,,,https://m.cafe.naver.com/bikecity/2230085,서울 쉐도우수자전거길하천 장맛비 물 구경 190728
D***,금강자전거길,201903**,F,5,,,      ,          ,,대구,달서구,용산2동,,,,https://m.blog.naver.com/sonmiheon/221587023120,금강 자전거길 다녀오다
D***,3생수변공원자전거길,201903**,M,4,,,      ,          ,,서울,양천구,신정4동,,,,https://m.cafe.naver.com/1sejongcity/710059,세종시닷컴
D***,요천자전거길,201903**,M,5,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,중구,운서동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)",LG,알뜰폰(MVNO),https://blog.naver.com/pvcwpc/221500048030,요천자전거길 섬진강자전거길을 달리다 그리고 동영상으로 담다 feat GoPro Hero4 Session
D***,금강자전거길,201903**,F,4,,,      ,          ,,서울,은평구,응암1동,,,,https://m.blog.naver.com/dntksdl/221629413656,금강 자전거길 당일 종주 후기 feat 시간표
D***,낙동강자전거길,201903**,M,5,,,      ,          ,,경기,김포시,풍무동,,,,https://m.blog.naver.com/ds3nzo/221610166781,낙동강 자전거길안동구담보
D***,영산강자전거길,201903**,M,3,,,      ,          ,,서울,강서구,등촌3동,,,,https://m.blog.naver.com/juneyoup1/221667433711,영산강 자전거길 종주준비
D***,북한강자전거길,201903**,M,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,부평구,갈산2동,"MPV (카니발, 올란도, 피카소급, 오딧세이 등)",LG,SKT,https://m.blog.naver.com/swtty20/221684562170,전기 자전거 라이딩 가평춘천까지 북한강 자전거길
D***6,중랑천자전거길,201903**,M,4,,,      ,          ,,인천,서구,연희동,,,,http://m.blog.daum.net/_blog/_m/articleView.do?blogid=06OOo&articleno=15728517,중랑천 자전거길66
D***0,영산강자전거길,201903**,F,2,,,      ,          ,,경기,양주시,백석읍,,,,https://m.blog.naver.com/qwermm/221531409670,영산강자전거길못난이미술관용호정 마실라이딩
D***7,동해안자전거길,201903**,F,4,,,      ,          ,,경남,창원시 의창구,북면,,,,https://himneda.blog.me/221518833248,동해안자전거길 여행
D***8,북한강자전거길,201903**,M,5,,,      ,          ,,서울,강북구,수유1동,,,,https://m.blog.naver.com/styoujin/221586534401,북한강 자전거길 라이딩2 가평에서 춘천까지 feat 백양리역 소양강스카이워크
D***5,서울동남쪽자전거길,201903**,M,3,,,      ,          ,,경기,부천시 원미구,도당동,,,,https://m.blog.naver.com/milcamp/221688662016,서울동남쪽 자전거길성내천 고덕천
D***6,3생수변공원자전거길,201903**,M,4,,,      ,          ,,서울,성동구,금호동3가,,,,https://m.cafe.naver.com/1sejongcity/710059,세종시닷컴
D***6,평화누리자전거길,201903**,M,4,,,      ,          ,,서울,중랑구,면목본동,,,,https://m.blog.naver.com/big_oakwood/221527896358,평화누리자전거길 김포대교 미개통 구간 상황
D***1,영산강자전거길,201903**,M,5,,,      ,          ,,경기,안양시 동안구,평촌동,,,,https://m.blog.naver.com/dfghjkb/221653292683,자전거 타기 31  영산강 자전거길  팻바이크 라이딩
D***4,오천자전거길,201903**,M,2,,,      ,          ,,대구,북구,산격1동,,,,https://m.blog.naver.com/jjobsal/221556957773,오천자전거길
D***7,새재자전거길,201903**,M,3,,,      ,          ,,서울,영등포구,영등포동6가,,,,https://m.blog.naver.com/lucialo/221570755725,19062223 새재 자전거길 2일차
D***2,명춤임도자전거길,201903**,M,5,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,서대문구,홍제1동,"중형차 (쏘나타, K5, 말리부, 골프급 등)",삼성,SKT,https://m.blog.naver.com/tiger290/221677120320,2019 대구청도 명품임도 자전거길 투어
D***0,사천시자전거길,201903**,F,2,,,      ,          ,,인천,중구,운서동,,,,http://m.blog.daum.net/_blog/_m/articleView.do?blogid=0OpR5&articleno=1007,사천시 자전거길동지역3
D***2,금호강자전거길,201903**,F,3,,,      ,          ,,전남,여수시,봉산동,,,,https://m.blog.naver.com/tmvprxm96/221563679999,아는동생과 금호강 자전거길 경산 라이딩
D***5,오천자전거길,201903**,F,5,,,      ,          ,,서울,동작구,상도2동,,,,https://blog.naver.com/kdx3korea/221489960701,드디어 오천 자전거길 190309당일 종주
D***9,양산자전거길,201903**,F,3,,,      ,          ,,인천,계양구,동양동,,,,https://m.blog.naver.com/hoho2693/221569502041,양산자전거길
D***9,평화누리자전거길,201903**,F,3,,,      ,          ,,인천,계양구,동양동,,,,https://m.blog.naver.com/jryulg/221717108617,평화누리 자전거길 드디어
D***7,동해안종주자전거길,201903**,F,2,,,      ,          ,,서울,강남구,삼성동,,,,https://blog.naver.com/kangsoo0/221486715125,2019030102 동해안종주자전거길 울진 북면영덕 해맞이공원 자전거 라이딩  2일차
D***9,평화누리자전거길,201903**,F,5,,,      ,          ,,경기,성남시 분당구,이매동,,,,https://m.blog.naver.com/cyberbinpol/221608768149,두달세 김포 평화누리 자전거길 22km한강신도시행주대교
D***0,한강자전거길,201903**,F,5,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,동작구,사당4동,,삼성,SKT,https://m.blog.naver.com/takitani9/221650060588,한강 자전거길
D***4,조종천자전거길,201903**,F,4,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,파주시,조리읍,,LG,LG U+,https://m.blog.naver.com/wncks9875/221636966845,청평 유원지 조종천 자전거길에 정 국수커피예요
D***5,대성리역자전거길,201903**,M,5,무직,100만원 미만,아니오,          ,기타 ,경기,수원시 영통구,매탄4동,,삼성,KT,https://m.blog.naver.com/collectte2/221530771749,마석역에서 대성리역 자전거길 딸랑구랑 킥보드 드라이브
D***1,섬진강자전거길,201903**,M,3,,,      ,          ,,충북,청주시 상당구,탑동,,,,https://m.blog.naver.com/youngs430600/221566708712,섬진강자전거길 함평고등학교 임실펜션 옥정호흙집연펜션에 두번째 방문
D***1,금강자전거길,201903**,M,4,"기능직 (자동차정비, 운전기사, 안경사, 택시기사)","1,000만원 이상",아니오,          ,연립주택/ 다세대/ 빌라,충북,제천시,봉양읍,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)",삼성,SKT,https://ds5yov.blog.me/221496450512,190324 국토종주 자전거길금강자전거길 세종서 대청땜
D***7,섬진강자전거길,201903**,M,5,,,      ,          ,,경기,파주시,문산읍,,,,https://blog.naver.com/pvcwpc/221499889797,20190327  14  남원에서 구례까지 벚꽃 라이딩을 하다 요천자전거길 섬진강자전거길 종주
D***1,동해안자전거길,201903**,M,5,,,      ,          ,,인천,남동구,만수1동,,,,https://m.cafe.naver.com/bikecity/2238183,강원 동해안자전거길경북강원 종주 2박3일 정복기
D***9,굴포천자전거길,201903**,M,3,,,      ,          ,,경기,부천시 원미구,역곡2동,,,,https://m.blog.naver.com/24oo/221560651708,아라 한강갑문 인증센터  굴포천 자전거길 돌아보기 44km
D***7,서울동남쪽자전거길,201903**,F,5,,,      ,          ,,전남,장흥군,장흥읍,,,,https://m.blog.naver.com/milcamp/221688662016,서울동남쪽 자전거길성내천 고덕천
D***0,춘천자전거길,201903**,M,5,,,      ,          ,,경기,용인시 수지구,신봉동,,,,https://m.blog.naver.com/hongyw/221709640187,춘천가볼만한 곳 춘천 자전거길  애니메이션박물관과 로봇박물관  20191107
D***8,쉐도우수자전거길,201903**,M,4,,,      ,          ,,서울,양천구,목4동,,,,https://m.cafe.naver.com/bikecity/2243541,서울 쉐도우수 자전거길산자락 아파트공사 특전사옛터 더듬기 190825
D***2,아라자전거길,201903**,M,4,,,      ,          ,,부산,수영구,남천동,,,,https://m.blog.naver.com/alstn1503/221616284096,자전거 국토종주 아라자전거길한강종주자전거길서울구간 완주
D***9,강변자전거길,201903**,M,4,"관리직 (사장, 간부, 고위공무원)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,대전,대덕구,석봉동,,애플,SKT,https://m.blog.naver.com/easeclub1/221664171950,안동 갈만한곳 핑크뮬리 인생샷 강변 자전거길 추천
D***6,의암호물레길자전거길,201903**,M,4,"전문직 (의사, 판검사, 예술가, 종교인)",900~999만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,용인시 기흥구,보정동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)",애플,LG U+,https://m.blog.naver.com/hongyw/221709585938,춘천가볼만한곳 춘천 MBC근처 의암호물레길 자전거길  20191031
D***6,남한강자전거길,201903**,F,5,,,      ,          ,,서울,도봉구,쌍문4동,,,,https://m.blog.naver.com/cjkimcow/221570441271,자전거여행 아들과 함께 남한강 자전거길
D***6,오천자전거길,201903**,F,3,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,성남시 분당구,분당동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)",애플,SKT,https://m.blog.naver.com/libcho/221620050609,오천자전거길
D***7,쉐도우수자전거길,201903**,M,4,,,      ,          ,,서울,서대문구,영천동,,,,http://m.blog.daum.net/_blog/_m/articleView.do?blogid=0H59d&articleno=5972748,쉐도우수 자전거길섬산길인천상륙작전 전초기기 영흥도 일주190915
D***4,제주도해안도로자전거길,201903**,M,5,"관리직 (사장, 간부, 고위공무원)",600~699만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,금천구,독산동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)",삼성,KT,https://m.blog.naver.com/ciemania/221605297627,제주맛집 차귀도맛집 제주도 해안도로 자전거길 맛집 신가네 짬뽕
D***4,평화누리자전거길,201903**,M,5,"관리직 (사장, 간부, 고위공무원)",600~699만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,금천구,독산동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)",삼성,KT,https://m.blog.naver.com/funnysw/221562599490,파주 평화누리 자전거길 행주대교신평초소  미개통 부분
D***3,오천자전거길,201903**,M,3,,,      ,          ,,부산,동래구,온천1동,,,,https://m.blog.naver.com/sonmiheon/221717112558,오천 자전거길 간다 하고선 대청댐에서 놀다 옴 징글징글 오천 종주 실패 20191127 업데이트
D***6,낙동강자전거길,201903**,M,3,,,      ,          ,,경기,부천시 오정구,원종동,,,,https://m.blog.naver.com/missyoooon/221638713381,원동 낙동강자전거길 용당쉼터 돗자리깔고 힐링쓰 가야진사공원
D***2,개경포자전거길,201903**,M,5,,,      ,          ,,전남,무안군,무안읍,,,,https://m.blog.naver.com/gokory/221567584470,일몰 사진 찍기 좋은 곳 개경포 자전거 길
D***6,아라자전거길,201903**,F,3,"서비스직 (요식업, 숙박업, 미용실종업원)",500~599만원,예    ,자녀 없음 ,연립주택/ 다세대/ 빌라,서울,강서구,염창동,"소형SUV/CUV (티볼리, QM3 등)",LG,KT,https://m.blog.naver.com/kdh6988/221664945492,아라자전거길 따라 강화도 조양방직 출사여행기
D***7,동해안자전거길,201903**,M,3,"학생 (초중고학생, 대학생, 대학원생)",200~299만원,아니오,          ,아파트/ 주상복합,서울,강동구,명일동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)",LG,KT,https://emptydream.tistory.com/m/4790,동해안 자전거길 임랑  간절곶
D***8,경춘선자전거길,201903**,M,4,"자영업 (도소매업, 숙박업, 미용업)","1,000만원 이상",예    ,자녀 없음 ,아파트/ 주상복합,서울,용산구,서빙고동,"대형차 (제너시스, BMW5급 등)",삼성,KT,https://m.blog.naver.com/lisd1225/221587675967,경춘선 자전거길 뚜벅 뚜벅 마치터널 까지 걷자
D***1,낙동강종주자전거길,201903**,M,3,"서비스직 (요식업, 숙박업, 미용실종업원)",400~499만원,아니오,          ,연립주택/ 다세대/ 빌라,강원,춘천시,석사동,,삼성,LG U+,http://m.blog.daum.net/_blog/_m/articleView.do?blogid=0GGot&articleno=7355409,낙동강 종주 자전거길을 달리며823일둘째세쨋날
D***2,남한강자전거길,201903**,M,4,"사무직 (일반사무직, 공무원, 직업군인)",800~899만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,용인시 수지구,상현2동,"대형SUV (베라크루즈, 모하비, 투아렉급 등)",삼성,LG U+,https://m.blog.naver.com/acad03/221526000379,남한강 자전거길
D***8,장군목자전거길,201903**,M,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,의정부시,호원동,"경차 (모닝, 스파크 등)",삼성,SKT,https://m.blog.naver.com/osgsb/221543237526,전북 순창 섬진강변을 따라 걷기 좋은 장군목 자전거길 트레킹
D***7,영산강자전거길,201903**,M,3,"생산/노무직 (생산감독, 경비원, 공장근로자)",200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,충남,연기군,남면,"중형차 (쏘나타, K5, 말리부, 골프급 등)",삼성,KT,https://m.blog.naver.com/whrkdwhthd/221543279365,전국 일주 9일차  담양의 멋과 맛   영산강 자전거길 11
D***1,영산강자전거길,201903**,F,3,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,아니오,          ,오피스텔,서울,금천구,가산동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)",삼성,KT,https://m.blog.naver.com/juneyoup1/221673977009,영산강 자전거길 종주 3박4일 3
D***8,낙동강자전거길,201903**,M,3,,,      ,          ,,경기,부천시 원미구,심곡1동,,,,https://m.cafe.naver.com/biketravelers/340916,가장 쉬운 낙동강자전거길 경로 모든 업힐 우회다람재터널모정터널
D***1,섬진강자전거길,201903**,F,4,"전문직 (의사, 판검사, 예술가, 종교인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,군포시,산본동,"경차 (모닝, 스파크 등)",애플,KT,https://m.blog.naver.com/lchgabriel/221672690290,섬진강 자전거길 걷기
D***5,안양천자전거길,201903**,M,3,기타 ,100~199만원,아니오,          ,아파트/ 주상복합,서울,서대문구,홍제2동,,애플,KT,https://blog.naver.com/sunmank1/221480008830,안양천 자전거길
D***07,동해안종주자전거길,201903**,M,5,"관리직 (사장, 간부, 고위공무원)",400~499만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,은평구,갈현2동,"소형차 (액센트, 프라이드, 아베오, 피아트급 등)",LG,LG U+,https://m.blog.naver.com/cool122022/221585411101,동해안종주자전거길강원일부흐르미의 하루
D***31,북한강자전거길,201903**,F,3,"서비스직 (요식업, 숙박업, 미용실종업원)",100~199만원,아니오,          ,오피스텔,충남,천안시 서북구,성정동,,삼성,KT,https://blog.naver.com/tamilnadu/221503790401,남양주 가볼만한 곳 남양주 8경 북한강 자전거길 중 하나인 물의정원의 늦겨울 풍경들
D***63,안양천자전거길,201903**,M,5,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,은평구,수색동,"중형차 (쏘나타, K5, 말리부, 골프급 등)",애플,SKT,https://blog.naver.com/milcamp/221522381395,안양천 자전거길목감천
D***30,국토종주자전거길,201903**,M,2,,,      ,          ,,,,,,,,https://m.blog.naver.com/uiryeonginfo/221657889592,아름다운 국토 종주 자전거길 20선 구름재 쉼터박진고개
D***59,공릉천소리천운정호수자전거길,201903**,M,4,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,부산,연제구,거제1동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)",삼성,SKT,https://blog.naver.com/2058mangi/221498625021,파주공릉천 소리천운정천 운정호수 자전거길 라이딩  자전거 여행
D***37,춘천자전거길,201903**,M,3,"생산/노무직 (생산감독, 경비원, 공장근로자)",300~399만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,부천시 원미구,상동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)",삼성,SKT,https://m.blog.naver.com/hongyw/221713745966,춘천가볼만한곳 춘천자전거길  춘천 MBC와 공지천변길20191120
D***07,안양천자전거길,201903**,F,4,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,구리시,교문2동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)",삼성,LG U+,https://blog.naver.com/sunmank1/221480008830,안양천 자전거길
D***26,금강자전거길,201903**,M,3,"사무직 (일반사무직, 공무원, 직업군인)",600~699만원,예    ,자녀 없음 ,아파트/ 주상복합,광주,북구,양산동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)",삼성,KT,https://blog.naver.com/jwkim7240/221496396043,언제나 즐거움을 주는 금강자전거길  세종에서 대청가는 길
D***26,동해안자전거길,201903**,M,3,"사무직 (일반사무직, 공무원, 직업군인)",600~699만원,예    ,자녀 없음 ,아파트/ 주상복합,광주,북구,양산동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)",삼성,KT,https://m.blog.naver.com/exoppa/221556011968,동해안 자전거길 넷째날
D***09,섬진강자전거길,201903**,F,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,예    ,자녀 없음 ,단독주택,경기,가평군,가평읍,"경차 (모닝, 스파크 등)",애플,KT,https://m.blog.naver.com/lchgabriel/221722950239,섬진강 자전거길 걷기
D***58,섬진강자전거길,201903**,M,3,"생산/노무직 (생산감독, 경비원, 공장근로자)",500~599만원,아니오,          ,단독주택,충북,청원군,오창읍,"준중형차 (아반떼, K3, 크루즈, 제타급 등)",기타,SKT,http://m.blog.daum.net/_blog/_m/articleView.do?blogid=02Zvm&articleno=13390639,구례 섬진강 자전거길  섬진강 대나무숲길을 달리다
D***60,섬강자전거길,201903**,M,3,,,      ,          ,,경남,진주시,신안동,,,,https://blog.naver.com/resonantm/221519642720,섬강 자전거길 횡성  서울
D***00,광려천자전거길,201903**,M,4,"사무직 (일반사무직, 공무원, 직업군인)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,경기,이천시,부발읍,,,,https://m.blog.naver.com/arahaman/221679743179,함안군 자전거 타기 좋은 곳 1 광려천 자전거길
D***16,동해안자전거길,201903**,M,4,"생산/노무직 (생산감독, 경비원, 공장근로자)",200~299만원,아니오,          ,아파트/ 주상복합,경남,거제시,능포동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)",LG,알뜰폰(MVNO),https://m.blog.naver.com/youngrider77/221598691410,동해안 자전거길경북 국토종주 힐링이었어요
