auser_ntrs_id,info_obtn_dt,auser_sxdst_cd,age_group_cd,occpn_nm,hshld_incm_group_nm,mrrg_yn_nm,chdrn_yn_nm,rsid_fom_nm,auser_ara_ctprv_nm,auser_ara_gu_nm,auser_ara_dong_nm,car_group_nm,craln_tlphn_mkr_nm,craln_tlphn_sbscr_cmpn_nm,pltc_dgnt_cont,ecnm_dgnt_cont,sct_dgnt_cont,lilhd_dgnt_cont,wrld_dgnt_cont,it_dgnt_cont,sprt_dgnt_cont,tv_etmn_dgnt_cont,main_ntrs_cd,info_obtn_site_url,info_obtn_site_subjc_nm
D***9,201903**,F,4,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,안양시 만안구,안양1동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)",삼성,SKT,,,,,,,,TV연예,TV연예,https://m.entertain.naver.com/ranking/read?oid=112&aid=0003171464&rankingType=default&rankingDate=20190603,"백종원♥ 소유진, 세 자녀들과 단란한 한 때..흐뭇한 엄마미소 :: 네이버 TV연예"
D***4,201903**,M,4,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,단독주택,대구,북구,읍내동,"경차 (모닝, 스파크 등)",삼성,SKT,,,,,,,스포츠,,스포츠,https://m.sports.naver.com/general/news/read.nhn?oid=009&aid=0004369400,당구연맹 ‘LPBA투어 출전’ 김가영 선수등록 말소 :: 네이버스포츠
D***5,201903**,F,3,"교직 (교사, 유치원교사, 학원강사)",100~199만원,예    ,자녀 없음 ,아파트/ 주상복합,경기,부천시 오정구,원종2동,,LG,SKT,,,사회,,,,,,사회,https://n.news.naver.com/article/032/0002932704,가수 로이킴·에... :: 네이버 뉴스
D***7,201903**,M,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,단독주택,충남,연기군,서면,기타 (승합차/트럭/화물차/기타 차량 등),삼성,SKT,,,,,,,스포츠,,경제,"https://m.sports.naver.com/comment/list.nhn?objectId=news413,0000087544&sort=LIKE",[K-ISSUE] 흥행 대박 K리그1 평균 관중 55.5% 증가...K리그2는 89.9% 증가 :: 네이버스포츠
D***6,201903**,M,3,"서비스직 (요식업, 숙박업, 미용실종업원)","1,000만원 이상",예    ,자녀 없음 ,아파트/ 주상복합,울산,동구,서부동,,LG,LG U+,,경제,,,,,,,경제,https://m.news.naver.com/read.nhn?mode=LSD&mid=sec&sid1=101&oid=008&aid=0004286271,서울 61개 단지 분양가상한제 피한다…총선 때까지 유예
D***4,201903**,M,5,"생산/노무직 (생산감독, 경비원, 공장근로자)",800~899만원,예    ,자녀 있음 ,아파트/ 주상복합,대전,유성구,궁동,"중형차 (쏘나타, K5, 말리부, 골프급 등)",삼성,LG U+,,,,,,,스포츠,,스포츠,https://m.sports.naver.com/wbaseball/news/read.nhn?oid=001&aid=0011001280,"다저스 투수 유망주 카터, 모델 에이전시와 계약 :: 네이버스포츠"
D***8,201903**,F,2,,,      ,          ,,부산,부산진구,당감동,,,,,,,,,,스포츠,,사회,https://m.sports.naver.com/kfootball/news/read.nhn?oid=413&aid=0000087544,[K-ISSUE] 흥행 대박 K리그1 평균 관중 55.5% 증가...K리그2는 89.9% 증가 :: 네이버스포츠
D***5,201903**,F,3,"서비스직 (요식업, 숙박업, 미용실종업원)",100~199만원,아니오,          ,오피스텔,충남,천안시 서북구,성정동,,삼성,KT,,,사회,,,,,,사회,https://n.news.naver.com/article/009/0004384788,도쿄 요리점에 팔... :: 네이버 뉴스
D***6,201903**,F,3,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,아니오,          ,오피스텔,서울,성동구,행당동,,애플,SKT,,,사회,,,,,,사회,https://m.news.naver.com/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0004284312,숨진채 발견 70·40대 네 모녀…“아이 울음소리도 났었는데”
D***6,201903**,F,3,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,대전,동구,가양2동,,삼성,KT,,,사회,,,,,,사회,https://m.news.naver.com/rankingRead.nhn?oid=005&aid=0001186611&ntype=RANKING&rc=N,황하나가 필로폰 ... :: 네이버 뉴스
D***2,201903**,M,3,무직,200~299만원,아니오,          ,단독주택,서울,송파구,가락2동,,삼성,KT,,,사회,,,,,,스포츠,https://m.news.naver.com/read.nhn?mode=LSD&mid=sec&sid1=102&oid=215&aid=0000757828,연인과 프로포폴 ... :: 네이버 뉴스
D***1,201903**,F,3,"주부 (전업주부, 파트타임 근무 주부)",200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,경남,진주시,평거동,,삼성,SKT,,경제,,,,,,,경제,https://n.news.naver.com/article/025/0002920366,경기 안 좋아 휴... :: 네이버 뉴스
D***00,201903**,M,2,"학생 (초중고학생, 대학생, 대학원생)",200~299만원,아니오,          ,아파트/ 주상복합,경남,김해시,진영읍,,삼성,SKT,,,사회,,,,,,사회,https://m.news.naver.com/read.nhn?mode=LSD&mid=sec&sid1=102&oid=005&aid=0001248288,강서구에 출몰한 야생 멧돼지 사살 후 방역…‘아프리카돼지열병’ 우려
D***52,201903**,F,4,"주부 (전업주부, 파트타임 근무 주부)",600~699만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,강동구,고덕동,"소형SUV/CUV (티볼리, QM3 등)",삼성,KT,,,,,,,,TV연예,스포츠,https://m.entertain.naver.com/read?oid=213&aid=0001108544&cluid=enter_201905271100_00000003,"신화 신혜성, 라디오 DJ로 돌아온다…SBS 음악 오디세이 진행[공식] :: 네이버 TV연예"
D***76,201903**,M,5,,,      ,          ,,대전,중구,유천2동,,삼성,SKT,,,,,,,스포츠,,사회,https://m.sports.naver.com/kbaseball/news/read.nhn?oid=144&aid=0000616231,100억 타자의 침묵…대안 없는 KIA의 풀리지 않는 숙제 :: 네이버스포츠
D***84,201903**,F,2,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,평택시,서정동,,애플,알뜰폰(MVNO),,,,,세계,,,,사회,https://n.news.naver.com/article/023/0003459010,LA다저스 홈구장 ... :: 네이버 뉴스
D***89,201903**,F,5,"주부 (전업주부, 파트타임 근무 주부)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,동구,송현1동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)",삼성,LG U+,,,,,,,,TV연예,TV연예,https://m.entertain.naver.com/read?oid=213&aid=0001109912,"눈물의 사부곡…아내의 맛 홍현희, 돌아가신 아버지 향한 영상편지 :: 네이버 TV연예"
D***97,201903**,F,4,"주부 (전업주부, 파트타임 근무 주부)",700~799만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,수원시 영통구,이의동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)",삼성,KT,,,,,,,스포츠,,스포츠,https://m.sports.naver.com/video.nhn?id=574688,네이버 스포츠
D***17,201903**,M,3,"서비스직 (요식업, 숙박업, 미용실종업원)",400~499만원,아니오,          ,아파트/ 주상복합,서울,금천구,시흥1동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)",삼성,SKT,,,사회,,,,,,스포츠,https://m.news.naver.com/read.nhn?mode=LSD&mid=sec&sid1=102&oid=025&aid=0002944657,정경심 지옥의 고통도 짧다 박노해 시 인용해 심경 토로
D***41,201903**,M,3,"생산/노무직 (생산감독, 경비원, 공장근로자)",500~599만원,아니오,          ,단독주택,충북,청원군,오창읍,"준중형차 (아반떼, K3, 크루즈, 제타급 등)",기타,SKT,,,,생활,,,,,사회,https://m.news.naver.com/read.nhn?mode=LSD&sid1=103&oid=001&aid=0011113970,오리·달·백조·쥐 이어 이번엔 석촌호수에 끈적괴물
D***32,201903**,M,4,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,아니오,          ,단독주택,제주,제주시,삼도2동,"중형차 (쏘나타, K5, 말리부, 골프급 등)",삼성,SKT,,,,,,,스포츠,,스포츠,https://m.sports.naver.com/wbaseball/news/read.nhn?oid=001&aid=0011022586,"강정호, 밀워키와 마이너 계약했나…트리플A팀 훈련 포착 :: 네이버스포츠"
D***12,201903**,M,2,"기능직 (자동차정비, 운전기사, 안경사, 택시기사)",300~399만원,아니오,          ,오피스텔,인천,남동구,간석4동,,삼성,알뜰폰(MVNO),,,사회,,,,,,사회,https://m.news.naver.com/read.nhn?mode=LSD&mid=sec&sid1=102&oid=005&aid=0001186615,‘아기가 정부 돌... :: 네이버 뉴스
D***78,201903**,F,5,"교직 (교사, 유치원교사, 학원강사)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,계양구,계산3동,"소형차 (액센트, 프라이드, 아베오, 피아트급 등)",애플,SKT,,,,,,,,TV연예,사회,https://m.entertain.naver.com/read?oid=468&aid=0000493996,"황하나, 내일(12일) 검찰 송치…박유천 측 조사 일정 조율 :: 네이버 TV연예"
D***58,201903**,M,4,,,      ,          ,,서울,강남구,역삼1동,,,,,,,,,,스포츠,,스포츠,https://m.sports.naver.com/kbaseball/news/read.nhn?oid=468&aid=0000527048,"투고타저 거스르는 김하성, 빅리그 진출에 대한 솔직한 심정 :: 네이버스포츠"
D***83,201903**,F,4,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,영등포구,대림1동,,삼성,SKT,,,사회,,,,,,사회,https://n.news.naver.com/article/005/0001196309,네티즌이 이겼다... :: 네이버 뉴스
D***19,201903**,M,4,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,안양시 동안구,호계동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)",삼성,KT,,,,,,,스포츠,,생활,https://m.sports.naver.com/wfootball/news/read.nhn?oid=413&aid=0000087537,"에릭센 지켰다 포체티노, 이적시장 끝! 파티하자 :: 네이버스포츠"
D***44,201903**,M,5,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,성남시 분당구,야탑동,"중형차 (쏘나타, K5, 말리부, 골프급 등)",삼성,SKT,,,,,,,스포츠,,사회,https://m.sports.naver.com/column/columnRead.nhn?expertId=1341&columnId=88793379,"[풀카운트] 고독한 부활 김태균, 한화 반등의 기폭제 될까 : 네이버스포츠"
D***12,201903**,M,2,무직,100~199만원,아니오,          ,아파트/ 주상복합,경기,파주시,광탄면,"경차 (모닝, 스파크 등)",LG,KT,,,사회,,,,,,사회,https://m.news.naver.com/hotissue/read.nhn?sid1=102&cid=1011835&iid=5147362&oid=001&aid=0010736201,부산 해운대 산불 5ha가량 불타…밤새 추가 피해 우려(종합3보) :: 네이버 뉴스
D***12,201903**,M,2,무직,100~199만원,아니오,          ,아파트/ 주상복합,경기,파주시,광탄면,"경차 (모닝, 스파크 등)",LG,KT,,,,,,,스포츠,,사회,https://m.sports.naver.com/wbaseball/news/read.nhn?oid=109&aid=0004065158,"마운드 오른 포수, 정체불명의 마구…구속·구종 측정 불가 :: 네이버스포츠"
D***41,201903**,M,3,,,      ,          ,,대전,중구,선화동,,,,,,사회,,,,,,사회,https://n.news.naver.com/article/025/0002903736,제가 언제 섹시... :: 네이버 뉴스
D***23,201903**,M,4,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,용인시 수지구,풍덕천1동,,삼성,SKT,,,사회,,,,,,사회,https://n.news.naver.com/article/022/0003360567,화려한 경주마의 ... :: 네이버 뉴스
D***,201903**,M,5,,,      ,          ,,전북,전주시 덕진구,금암2동,,,,,,,,세계,,,,사회,https://m.news.naver.com/read.nhn?mode=LSD&mid=sec&sid1=104&oid=047&aid=0002243311,하기비스 강타 일본서 수십명 사망·실종... 방사성 폐기물도 유실
D***,201903**,M,4,"관리직 (사장, 간부, 고위공무원)",900~999만원,아니오,          ,아파트/ 주상복합,서울,강서구,가양동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)",삼성,SKT,,,사회,,,,,,사회,https://n.news.naver.com/article/214/0000939607,박유천 마약 안 ... :: 네이버 뉴스
D***,201903**,M,3,,,      ,          ,,경기,성남시 분당구,이매동,,,,,,사회,,,,,,사회,https://m.news.naver.com/read.nhn?oid=008&aid=0004282534&sid1=102&mode=LSD,국대떡볶이 대표 막말 시끌… 불매운동 vs 인기↑
D***,201903**,F,5,,,      ,          ,,서울,강북구,미아동,,,,,,사회,,,,,,사회,https://n.news.naver.com/article/277/0004493141?ntype=RANKING,성관계하면서 촬... :: 네이버 뉴스
D***,201903**,M,3,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,강서구,화곡8동,"프리미엄 (에쿠스, BMW7급 등)",LG,SKT,,,사회,,,,,,사회,https://n.news.naver.com/article/028/0002460098,[단독] 국방부는... :: 네이버 뉴스
D***,201903**,F,5,,,      ,          ,,대구,달서구,용산2동,,,,,,,,,,스포츠,,사회,https://m.sports.naver.com/wbaseball/news/read.nhn?oid=139&aid=0002115501,"美 매체, RYU, 놀라움을 선사했다 :: 네이버스포츠"
D***,201903**,M,2,,,      ,          ,,경북,고령군,다산면,,,,,,사회,,,,,,사회,https://n.news.naver.com/article/469/0000402357,‘급식대란’ 첫 ... :: 네이버 뉴스
D***,201903**,M,4,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,노원구,중계2.3동,"중형차 (쏘나타, K5, 말리부, 골프급 등)",삼성,SKT,,,,,,,스포츠,,스포츠,https://m.sports.naver.com/kbaseball/news/read.nhn?oid=117&aid=0003251661,"수원 KT-LG, 우천 취소…27일 쿠에바스 vs 윌슨 :: 네이버스포츠"
D***,201903**,M,3,,,      ,          ,,대전,유성구,전민동,,,,,,,,세계,,,,사회,https://n.news.naver.com/article/055/0000724962,美·英 양대 차트... :: 네이버 뉴스
D***,201903**,M,4,,,      ,          ,,경기,수원시 장안구,정자2동,,,,,,사회,,,,,,사회,https://m.news.naver.com/rankingRead.nhn?oid=437&aid=0000223370&ntype=RANKING&rc=N,"한강 텐트 낮에도 금지 과태료 100만원 첫 주말, 현장은…"
D***,201903**,F,4,,,      ,          ,,서울,노원구,상계10동,,,,,,,,,,스포츠,,사회,https://m.sports.naver.com/kbaseball/news/read.nhn?oid=311&aid=0001001869,"잔루 12개 한화, 마운드 호투 무색한 허무함의 연속 :: 네이버스포츠"
D***,201903**,M,5,,,      ,          ,,인천,남구,학익동,,,,,,,,,,스포츠,,스포츠,https://m.sports.naver.com/kfootball/news/read.nhn?oid=468&aid=0000521469,정정용 감독의 뼈 있는 농담? 강인아 2년 뒤에 다시 보자 [SS영상] :: 네이버스포츠
D***,201903**,M,4,,,      ,          ,,서울,강동구,상일동,,,,,경제,,,,,,,경제,https://n.news.naver.com/article/055/0000743615?ntype=RANKING,결국 꺼내든 분... :: 네이버 뉴스
D***,201903**,M,3,"서비스직 (요식업, 숙박업, 미용실종업원)",100~199만원,아니오,          ,단독주택,서울,양천구,신월1동,,삼성,SKT,,,,,,,스포츠,,스포츠,https://m.sports.naver.com/wfootball/news/read.nhn?oid=109&aid=0004059677,‘노쇼 호날두 사건 미국 언론에도 일파만파…뿔난 한국팬들이 집단소송 준비 :: 네이버스포츠
D***,201903**,M,3,,,      ,          ,,서울,용산구,후암동,,,,,,사회,,,,,,사회,https://m.news.naver.com/read.nhn?oid=008&aid=0004284784&sid1=102&mode=LSD,까마득한 절벽 美 그랜드캐년서 뛰어내린 20대 남성
D***6,201903**,M,4,,,      ,          ,,서울,서초구,우면동,,,,,,사회,,,,,,사회,https://n.news.naver.com/article/081/0002990315,‘음란물 유포’ ... :: 네이버 뉴스
D***3,201903**,M,3,,,      ,          ,,경북,영천시,언하동,,,,,,사회,,,,,,스포츠,https://n.news.naver.com/article/011/0003652395,[속보]소방장비 36대 출동···김포 식품공장서 화재 대응 1단계 발령
D***3,201903**,M,3,,,      ,          ,,경북,영천시,언하동,,,,,,,,,,,TV연예,스포츠,https://m.entertain.naver.com/ranking/read?oid=421&aid=0004020922&rankingType=default&rankingDate=20190602,[N웸블리] BTS의 뜨거운 英 시간…팝업스토어·간담회·본 공연까지(종합) :: 네이버 TV연예
D***1,201903**,M,2,"학생 (초중고학생, 대학생, 대학원생)",600~699만원,아니오,          ,단독주택,경북,포항시 북구,항구동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)",삼성,SKT,,,,생활,,,,,생활,https://m.news.naver.com/rankingRead.nhn?oid=009&aid=0004445870&ntype=RANKING&rc=N,"빅토리아, 중국서 드라마 촬영중 설리 비보 소식에 다급히…"
D***5,201903**,M,3,,,      ,          ,,부산,연제구,연산5동,,,,,,,,세계,,,,스포츠,https://m.news.naver.com/read.nhn?mode=LSD&mid=sec&sid1=104&oid=421&aid=0004244687,美中무역협상 부분합의 도달…최종합의까진 아직(종합)
D***7,201903**,F,3,,,      ,          ,,서울,금천구,가산동,,,,정치,,,,,,,,사회,https://m.news.naver.com/rankingRead.nhn?oid=001&aid=0011239718&sid1=&ntype=RANKING,"황교안, 건강 급격히 악화…병원 이송 권유에 할일 남았다(종합2보)"
D***7,201903**,F,3,,,      ,          ,,서울,금천구,가산동,,,,,,,,,,,TV연예,사회,https://m.entertain.naver.com/tvBrand/663936,TV [고교생 일기] - 방송정보 :: 네이버 TV연예
D***2,201903**,M,4,,,      ,          ,,서울,노원구,월계동,,,,,,사회,,,,,,사회,https://m.news.naver.com/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0011241289,13세 연하인 몽골인 아내에 아직도 존댓말해요
D***1,201903**,M,3,,,      ,          ,,서울,강남구,일원2동,,,,,,사회,,,,,,사회,https://n.news.naver.com/article/025/0002941483,개천절 태풍 미탁 韓관통…시속 160㎞ 강풍과 비 몰아친다
D***1,201903**,M,2,,,      ,          ,,서울,동작구,상도3동,,삼성,LG U+,,,사회,,,,,,사회,https://n.news.naver.com/article/025/0002920595,잠원동 붕괴 건... :: 네이버 뉴스
D***0,201903**,M,4,"전문직 (의사, 판검사, 예술가, 종교인)",400~499만원,아니오,          ,오피스텔,경기,안성시,당왕동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)",삼성,SKT,,,사회,,,,,,사회,https://n.news.naver.com/article/022/0003359950,‘커피계 애플’ ... :: 네이버 뉴스
D***4,201903**,M,2,"학생 (초중고학생, 대학생, 대학원생)",800~899만원,아니오,          ,아파트/ 주상복합,서울,성북구,안암동5가,,애플,SKT,,,,,,,스포츠,,사회,https://m.sports.naver.com/kbaseball/news/read.nhn?oid=076&aid=0003478979,"[준PO핫포커스]기꺼이 믿어준 감독에 화답한 고우석, 152㎞ 직구로 끝냈다 :: 네이버스포츠"
D***4,201903**,M,3,,,      ,          ,,광주,남구,월산4동,,,,,,,,,,스포츠,,스포츠,https://m.sports.naver.com/wfootball/news/read.nhn?oid=311&aid=0001003471,이적 암시 루카쿠 바쁜 여름이 될 것 :: 네이버스포츠
D***5,201903**,M,4,,,      ,          ,,서울,중랑구,면목본동,,,,,,,,,,스포츠,,스포츠,https://m.sports.naver.com/baseball/gamecenter/kbo/index.nhn?gameId=33331010WOLG02019&tab=vod,키움 vs LG : 네이버 스포츠
